Group	accession_group	embedding_set	CL:ID_group	spatial_evidence_{type}	spatial_description_manual	morphology_description	ephysiology_description	tf_marker_genes	combo_markers	binary_markers	curated_markers	rationale_for_literature_link	tokens_group	display_order_group	literature_support	literature_name_short	literature_name_long	neurotransmitter	color_hex_group	color_group	Subclass	accession_subclass	CL:ID_subclass	tokens_subclass	display_order_subclass	color_hex_subclass	color_subclass	Class	accession_class	CL:ID_class	tokens_class	display_order_class	color_hex_class	color_class	Neighborhood	accession_neighborhood	CL:ID_neighborhood	tokens_neighborhood	display_order_neighborhood	color_hex_neighborhood	color_neighborhood
STRd D1 Matrix MSN	CS20250428_GROUP_0049	LGE	CL:4030043								DRD1, STXBP6		STRd|D1 Matrix MSN	1	He et al. 2021	D1-Matrix			#1f77b4		STR D1 MSN	CS20250428_SUBCL_0028	CL:4023026	STR|D1 MSN	31	#1655f2		CN LGE GABA	CS20250428_CLASS_0003		CN|LGE|GABA	10	#d0b83c		Subpallium GABA	CS20250428_NEIGH_0002		Subpallium|GABA	3	#19613b	
STRd D1 Striosome MSN	CS20250428_GROUP_0050	LGE	CL:4030048								DRD1, KCNIP1		STRd|D1 Striosome MSN	2	He et al. 2021	D1-Striosome			#d62728		STR D1 MSN	CS20250428_SUBCL_0028	CL:4023026	STR|D1 MSN	31	#1655f2		CN LGE GABA	CS20250428_CLASS_0003		CN|LGE|GABA	10	#d0b83c		Subpallium GABA	CS20250428_NEIGH_0002		Subpallium|GABA	3	#19613b	
STRd D2 Matrix MSN	CS20250428_GROUP_0052	LGE	CL:4030047								DRD2, STXBP6		STRd|D2 Matrix MSN	3	He et al. 2021	D2-Matrix			#aec7e8		STR D2 MSN	CS20250428_SUBCL_0029	CL:4023029	STR|D2 MSN	32	#253c8c		CN LGE GABA	CS20250428_CLASS_0003		CN|LGE|GABA	10	#d0b83c		Subpallium GABA	CS20250428_NEIGH_0002		Subpallium|GABA	3	#19613b	
STRd D2 Striosome MSN	CS20250428_GROUP_0054	LGE	CL:4030049								DRD2, KCNIP1		STRd|D2 Striosome MSN	4	He et al. 2021	D2-Striosome			#ff9896		STR D2 MSN	CS20250428_SUBCL_0029	CL:4023029	STR|D2 MSN	32	#253c8c		CN LGE GABA	CS20250428_CLASS_0003		CN|LGE|GABA	10	#d0b83c		Subpallium GABA	CS20250428_NEIGH_0002		Subpallium|GABA	3	#19613b	
STRv D1 MSN	CS20250428_GROUP_0056	LGE	CL:4030051								DRD1, ARHGAP6		STRv|D1 MSN	5	He et al. 2021	D1-Shell/OT			#339933		STR D1 MSN	CS20250428_SUBCL_0028	CL:4023026	STR|D1 MSN	31	#1655f2		CN LGE GABA	CS20250428_CLASS_0003		CN|LGE|GABA	10	#d0b83c		Subpallium GABA	CS20250428_NEIGH_0002		Subpallium|GABA	3	#19613b	
STRv D2 MSN	CS20250428_GROUP_0058	LGE	CL:4030052								DRD2, ARHGAP6		STRv|D2 MSN	6	He et al. 2021	D2-Shell/OT			#98df8a		STR D2 MSN	CS20250428_SUBCL_0029	CL:4023029	STR|D2 MSN	32	#253c8c		CN LGE GABA	CS20250428_CLASS_0003		CN|LGE|GABA	10	#d0b83c		Subpallium GABA	CS20250428_NEIGH_0002		Subpallium|GABA	3	#19613b	
STRd D2 StrioMat Hybrid MSN	CS20250428_GROUP_0053	LGE											STRd|D2 StrioMat Hybrid MSN	7	Novel				#5713c3		STR D2 MSN	CS20250428_SUBCL_0029	CL:4023029	STR|D2 MSN	32	#253c8c		CN LGE GABA	CS20250428_CLASS_0003		CN|LGE|GABA	10	#d0b83c		Subpallium GABA	CS20250428_NEIGH_0002		Subpallium|GABA	3	#19613b	
STR D1D2 Hybrid MSN	CS20250428_GROUP_0051	LGE	CL:4030050								DRD1, DRD2, CRHR2, GRIK1		STR|D1D2 Hybrid MSN	8	He et al. 2021	D1/D2 Hybrid			#9467bd		STR Hybrid MSN	CS20250428_SUBCL_0030	CL:4030050	STR|Hybrid MSN	33	#79bdf4		CN LGE GABA	CS20250428_CLASS_0003		CN|LGE|GABA	10	#d0b83c		Subpallium GABA	CS20250428_NEIGH_0002		Subpallium|GABA	3	#19613b	
STRv D1 NUDAP MSN	CS20250428_GROUP_0057	LGE	CL:4030054								DRD1, GRIA4		STRv|D1 NUDAP MSN	9	He et al. 2021	D1-NUDAP			#e377c2		STR Hybrid MSN	CS20250428_SUBCL_0030	CL:4030050	STR|Hybrid MSN	33	#79bdf4		CN LGE GABA	CS20250428_CLASS_0003		CN|LGE|GABA	10	#d0b83c		Subpallium GABA	CS20250428_NEIGH_0002		Subpallium|GABA	3	#19613b	
OT D1 ICj	CS20250428_GROUP_0024	LGE	CL:4030053								DRD1, CPNE4		OT|D1 ICj	10	He et al. 2021	D1-ICj (Islands of Calleja)	D1 Islands of Calleja		#ff7f0e		OT Granular GABA	CS20250428_SUBCL_0021	CL:4030053	OT|Granular|GABA	34	#9160cb		CN LGE GABA	CS20250428_CLASS_0003		CN|LGE|GABA	10	#d0b83c		Subpallium GABA	CS20250428_NEIGH_0002		Subpallium|GABA	3	#19613b	
